Title,url,Source: https://www.bbc.co.uk/news/topics/cwlw3xz0lvvt/brexit
Scots and Welsh ministers quiz Treasury on post-Brexit cash,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-47246237?intlink_from_url=https://www.bbc.co.uk/news/topics/cwlw3xz0lvvt/brexit&link_location=live-reporting-story,
Cardiff gig to discuss Welsh independence post-Brexit,https://www.bbc.co.uk/news/uk-wales-47242004?intlink_from_url=https://www.bbc.co.uk/news/topics/cwlw3xz0lvvt/brexit&link_location=live-reporting-story,
Brexit: Theresa May suffers fresh Commons defeat,https://www.bbc.co.uk/news/uk-politics-47245992?intlink_from_url=https://www.bbc.co.uk/news/topics/cwlw3xz0lvvt/brexit&link_location=live-reporting-story,
Brexit: Confusion over cross-border driving permit,https://www.bbc.co.uk/news/uk-northern-ireland-47240935,
Brexit: What trade deals has the UK done so far?,https://www.bbc.co.uk/news/uk-47213842,
Brexit: 'Best outcome' is withdrawal agreement,https://www.bbc.co.uk/news/uk-northern-ireland-47240932,
Brexit amendments: How MPs tried to change Theresa May's course,https://www.bbc.co.uk/news/uk-politics-47225819,
"News Daily: IS schoolgirl speaks, Brexit latest and heart health",https://www.bbc.co.uk/news/uk-47230597,
Brexit: Could Labour rebels form new party?,https://www.bbc.co.uk/news/uk-politics-47234322,
Brexit: Sturgeon steps up no-deal planning,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-47226482,
German think tank calls for EU to make Brexit concessions,https://www.bbc.co.uk/news/business-47223787,
Brexit healthcare worries for Brits in Spain,https://www.bbc.co.uk/news/business-47214093,
Brexit doubts leave firms 'hung out to dry',https://www.bbc.co.uk/news/business-47217801,
Brexit: The mystery that is Theresa May,https://www.bbc.co.uk/news/uk-politics-47219791,
Brexit: No-deal plan for Channel Tunnel operations,https://www.bbc.co.uk/news/world-europe-47215904,
Brexit: Mark Carney warns of no-deal 'economic shock',https://www.bbc.co.uk/news/business-47209266,
Brexit: Theresa May promises meaningful vote after more talks with EU,https://www.bbc.co.uk/news/uk-politics-47206286,
McCrossan replaces Hanna as SDLP Brexit spokesperson,https://www.bbc.co.uk/news/uk-northern-ireland-47214348,
"Hammond's Brexit 'deal dividend' not credible, MPs say",https://www.bbc.co.uk/news/business-47209369,
Brexit fishing law a 'missed opportunity' for Wales,https://www.bbc.co.uk/news/uk-wales-politics-47204847,
Brexit immigration rules 'threat to NI',https://www.bbc.co.uk/news/uk-northern-ireland-47199037,
Brexit fishing law a 'missed opportunity' for Wales,https://www.bbc.co.uk/news/uk-wales-politics-47204847,
